recall,precision,threshold
1.0,0.0759493670886076,0.0
0.8333333333333334,0.0684931506849315,3.175865568449924
0.8333333333333334,0.06944444444444445,3.6227563378248395
0.8333333333333334,0.07042253521126761,3.748627432538364
0.8333333333333334,0.07142857142857142,3.7707280756375385
0.8333333333333334,0.07246376811594203,3.8057235245853187
0.8333333333333334,0.07352941176470588,3.987847390904665
0.8333333333333334,0.07462686567164178,4.108677405535224
0.8333333333333334,0.07575757575757576,4.119276286347917
0.8333333333333334,0.07692307692307693,4.395009412704533
0.8333333333333334,0.078125,4.651454133469431
0.8333333333333334,0.07936507936507936,4.65504333133072
0.8333333333333334,0.08064516129032258,4.680682114676998
0.8333333333333334,0.08196721311475409,4.752578257482563
0.8333333333333334,0.08333333333333333,4.867270750558495
0.8333333333333334,0.0847457627118644,4.896110214136327
0.8333333333333334,0.08620689655172414,4.925805818064896
0.6666666666666666,0.07017543859649122,4.96117350573164
0.6666666666666666,0.07142857142857142,5.021588826284796
0.6666666666666666,0.07272727272727272,5.250945449047496
0.6666666666666666,0.07407407407407407,5.30931378242772
0.6666666666666666,0.07547169811320754,5.513556685364018
0.6666666666666666,0.07692307692307693,5.81345528508485
0.5,0.058823529411764705,5.838537939051204
0.5,0.06,5.944793822874467
0.5,0.061224489795918366,6.00080867406976
0.3333333333333333,0.041666666666666664,6.151753153676133
0.3333333333333333,0.0425531914893617,6.1932662969426255
0.16666666666666666,0.021739130434782608,6.246070196618797
0.16666666666666666,0.022222222222222223,6.257854630188207
0.16666666666666666,0.022727272727272728,6.328269479501583
0.16666666666666666,0.023255813953488372,6.36791589955357
0.16666666666666666,0.023809523809523808,6.378105278965625
0.16666666666666666,0.024390243902439025,6.415978475362344
0.16666666666666666,0.025,6.552766925292879
0.16666666666666666,0.02564102564102564,6.74640143706023
0.16666666666666666,0.02631578947368421,6.8033109966155685
0.0,0.0,6.811893171421124
0.0,0.0,6.887300786053897
0.0,0.0,6.9019731236296336
0.0,0.0,6.93734783539709
0.0,0.0,7.021172369605102
0.0,0.0,7.140399776807848
0.0,0.0,7.239381687069776
0.0,0.0,7.318298446987279
0.0,0.0,7.719525672945159
0.0,0.0,7.720925003885194
0.0,0.0,8.304053524007053
0.0,0.0,8.49117220992719
0.0,0.0,8.76990399235418
0.0,0.0,9.161544644041875
0.0,0.0,9.316205663840314
0.0,0.0,9.331856459285724
0.0,0.0,9.418992834710398
0.0,0.0,9.422709215535809
0.0,0.0,9.477141311525065
0.0,0.0,9.555850266646518
0.0,0.0,9.714395570484209
0.0,0.0,9.944261069361897
0.0,0.0,10.491024967011812
0.0,0.0,10.64930896240604
0.0,0.0,10.674357192393524
0.0,0.0,10.770743062975503
0.0,0.0,12.254184776482758
0.0,0.0,12.403447504988412
0.0,0.0,13.125133635947968
0.0,0.0,13.211127410706329
0.0,0.0,14.303602711741714
0.0,0.0,15.247642758304952
0.0,0.0,15.962781192998333
0.0,0.0,16.164436847930517
0.0,0.0,16.214283979413782
0.0,0.0,18.22859579816069
0.0,0.0,20.81539032524789
0.0,1.0,
