model,granularity,data_source,subset_name,subset_group,subset_rows,subset_trip_count,subset_scope,subset_note,TP,FP,FN,TN,precision,recall,false_positive_rate,accuracy,positive_label_count,negative_label_count,roc_auc,pr_auc,average_detection_latency_sec,median_detection_latency_sec,detected_anomalous_trips,missed_anomalous_trips,latency_target_sec,latency_target_met
Isolation Forest,row,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,overall,all_rows,20412,79,mixed_controlled_benchmark,Subset contains both normal and anomalous samples.,29,3991,0,16392,0.007213930348258706,1.0,0.19580042192022765,0.8044777581814618,29,20383,0.8051960135812974,0.0034791835148942113,0.0,0.0,6,0,10.0,True
Isolation Forest,row,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,project_native,source_subset,634,12,mixed_controlled_benchmark,Subset contains both normal and anomalous samples.,29,4,0,601,0.8787878787878788,1.0,0.006611570247933884,0.9936908517350158,29,605,0.9995440296380735,0.9900811235674686,0.0,0.0,6,0,10.0,True
Isolation Forest,row,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,public_source,source_subset,19778,67,clean_false_alarm_characterization,Subset contains only normal samples; use false-positive rate more than recall.,0,3987,0,15791,0.0,0.0,0.2015876226109819,0.798412377389018,0,19778,,,,,0,0,10.0,False
Isolation Forest,row,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,project_native_clean,benchmark_partition,498,12,clean_false_alarm_characterization,Subset contains only normal samples; use false-positive rate more than recall.,0,3,0,495,0.0,0.0,0.006024096385542169,0.9939759036144579,0,498,,,,,0,0,10.0,False
Isolation Forest,row,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,project_native_injected,benchmark_partition,136,6,mixed_controlled_benchmark,Subset contains both normal and anomalous samples.,29,1,0,106,0.9666666666666667,1.0,0.009345794392523364,0.9926470588235294,29,107,0.9993554624556881,0.9976204631674308,0.0,0.0,6,0,10.0,True
Isolation Forest,row,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,public_clean,benchmark_partition,19778,67,clean_false_alarm_characterization,Subset contains only normal samples; use false-positive rate more than recall.,0,3987,0,15791,0.0,0.0,0.2015876226109819,0.798412377389018,0,19778,,,,,0,0,10.0,False
Matrix Profile,trip_subsequence,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,overall,all_trips,79,79,mixed_controlled_benchmark,Subset contains both normal and anomalous samples.,5,53,1,20,0.08620689655172414,0.8333333333333334,0.726027397260274,0.31645569620253167,6,73,0.3162100456621005,0.052505893926417475,9.803526,0.0,5,1,10.0,True
Matrix Profile,trip_subsequence,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,project_native,source_subset,12,12,mixed_controlled_benchmark,Subset contains both normal and anomalous samples.,5,0,1,6,1.0,0.8333333333333334,0.0,0.9166666666666666,6,6,0.9027777777777779,0.9444444444444444,9.803526,0.0,5,1,10.0,True
Matrix Profile,trip_subsequence,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,public_source,source_subset,67,67,clean_false_alarm_characterization,Subset contains only normal samples; use false-positive rate more than recall.,0,53,0,14,0.0,0.0,0.7910447761194029,0.208955223880597,0,67,,,,,0,0,10.0,False
Matrix Profile,trip_subsequence,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,project_native_clean,benchmark_partition,6,6,clean_false_alarm_characterization,Subset contains only normal samples; use false-positive rate more than recall.,0,0,0,6,0.0,0.0,0.0,1.0,0,6,,,,,0,0,10.0,False
Matrix Profile,trip_subsequence,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,project_native_injected,benchmark_partition,6,6,positive_only_sensitivity,Subset contains only anomalous samples; use recall/latency more than false-positive rate.,5,0,1,0,1.0,0.8333333333333334,0.0,0.8333333333333334,6,0,,,9.803526,0.0,5,1,10.0,True
Matrix Profile,trip_subsequence,C:\thesis_final\THESIS\ml\outputs\datasets\evaluation_dataset.csv,public_clean,benchmark_partition,67,67,clean_false_alarm_characterization,Subset contains only normal samples; use false-positive rate more than recall.,0,53,0,14,0.0,0.0,0.7910447761194029,0.208955223880597,0,67,,,,,0,0,10.0,False
